OMIM.ID	UMLS.ID
OMIM:100100	C0033770
OMIM:100300	C0265268
OMIM:100800	C0001080
OMIM:101000	C0027832
OMIM:101200	C0001193
OMIM:101400	C0175699
OMIM:101600	C2931888
OMIM:101800	C0220659
OMIM:101900	C0265971
OMIM:102200	C0001206
OMIM:102200	C1863340
OMIM:102200	C0346302
OMIM:102200	C0017547
OMIM:102370	C0265287
OMIM:102500	C0917715
OMIM:102700	C0392607
OMIM:103050	C0268126
OMIM:103285	C1863204
OMIM:103500	C0391816
OMIM:103580	C3494506
OMIM:103900	C1260386
OMIM:104100	C1863093
OMIM:104200	C1567743
OMIM:104290	C0338488
OMIM:104300	C0276496
OMIM:104510	C0002452
OMIM:104510	C0399373
OMIM:105120	C0936273
OMIM:105150	C1527338
OMIM:105210	C0206245
OMIM:105400	C0002736
OMIM:105550	C3888102
OMIM:105650	C1260899
OMIM:105830	C0162635
OMIM:106100	C0019243
OMIM:106100	C1862892
OMIM:106100	C2717906
OMIM:106210	C0003076
OMIM:106260	C1785148
OMIM:107480	C0265246
OMIM:107600	C0282160
OMIM:107970	C0265857
OMIM:108120	C0220662
OMIM:108145	C1834523
OMIM:108300	C0265253
OMIM:108300	C2020284
OMIM:108500	C1720416
OMIM:108600	C1970107
OMIM:108720	C0265283
OMIM:108721	C3668942
OMIM:108770	C1838539
OMIM:108900	C3502353
OMIM:108985	C1862382
OMIM:109150	C0024408
OMIM:109400	C0004779
OMIM:110100	C0220663
OMIM:112240	C1862178
OMIM:112310	C0432201
OMIM:112410	C1862170
OMIM:112500	C1862151
OMIM:112600	C1832702
OMIM:113000	C1300267
OMIM:113100	C1862103
OMIM:113300	C0265312
OMIM:113500	C0432227
OMIM:113620	C0376524
OMIM:113650	C0265234
OMIM:113800	C0079153
OMIM:113900	C1879286
OMIM:113970	C0006413
OMIM:114000	C0020497
OMIM:114290	C1861922
OMIM:114300	C0220666
OMIM:114480	C0346153
OMIM:114550	C0206624
OMIM:114550	C2239176
OMIM:115150	C1275081
OMIM:116200	C1861829
OMIM:116300	C1852438
OMIM:116400	C0392557
OMIM:116860	C2931263
OMIM:116920	C0242597
OMIM:116920	C0398738
OMIM:117000	C0751951
OMIM:117000	C0270962
OMIM:117000	C1861753
OMIM:117210	C1861736
OMIM:117300	C1861735
OMIM:117550	C0175695
OMIM:117650	C0265342
OMIM:118200	C0270912
OMIM:118210	C1861678
OMIM:118220	C0270911
OMIM:118300	C1861669
OMIM:118400	C0008029
OMIM:118450	C0085280
OMIM:118600	C0553730
OMIM:118700	C0393584
OMIM:118800	C1869117
OMIM:119300	C0175697
OMIM:119540	C0008925
OMIM:119600	C0008928
OMIM:119900	C0345408
OMIM:120100	C0343068
OMIM:120330	C1852759
OMIM:120430	C0549307
OMIM:120433	C0795902
OMIM:120435	C1333990
OMIM:121050	C0220668
OMIM:121200	C0220669
OMIM:121300	C0162531
OMIM:121800	C0271287
OMIM:121820	C0521723
OMIM:121850	C1562113
OMIM:121900	C1641846
OMIM:122000	C0339284
OMIM:122100	C0339277
OMIM:122200	C1690006
OMIM:122400	C1852551
OMIM:122470	C0270972
OMIM:122860	C0410539
OMIM:122880	C1852510
OMIM:123000	C3887594
OMIM:123100	C0221356
OMIM:123150	C0795998
OMIM:123400	C0022336
OMIM:123790	C1852406
OMIM:124200	C0022595
OMIM:124480	C2675730
OMIM:124500	C0265964
OMIM:125250	C2931440
OMIM:125310	C0751587
OMIM:125350	C1852222
OMIM:125370	C0751781
OMIM:125400	C0011430
OMIM:125490	C2973527
OMIM:125500	C0399378
OMIM:125595	C0406778
OMIM:125700	C0687720
OMIM:125800	C0162283
OMIM:125850	C0342276
OMIM:126600	C1852021
OMIM:127400	C0406775
OMIM:127550	C0265965
OMIM:128100	C0013423
OMIM:128200	C1868682
OMIM:128235	C1868681
OMIM:129200	C0406707
OMIM:129400	C1785148
OMIM:129490	C0162359
OMIM:129490	C0265331
OMIM:129500	C0162361
OMIM:129600	C0013581
OMIM:130000	C0220679
OMIM:130020	C0268337
OMIM:130050	C0268338
OMIM:130060	C0268345
OMIM:130060	C1851801
OMIM:130080	C0268347
OMIM:130650	C0004903
OMIM:130720	C1851710
OMIM:130900	C0399376
OMIM:131100	C0025267
OMIM:131300	C0011989
OMIM:131705	C1851573
OMIM:131750	C0432322
OMIM:131760	C0079295
OMIM:131800	C0080333
OMIM:131850	C0432321
OMIM:131900	C0079299
OMIM:131950	C0432317
OMIM:131960	C0432316
OMIM:132400	C1838280
OMIM:132450	C1851536
OMIM:132600	C0206711
OMIM:132700	C1704217
OMIM:133020	C0014805
OMIM:133100	C0152264
OMIM:133200	C1851479
OMIM:133200	C0265961
OMIM:133239	C0279626
OMIM:133540	C0009207
OMIM:133540	C0751038
OMIM:133540	C0751039
OMIM:133540	C0751037
OMIM:133700	C0015306
OMIM:133780	C0339539
OMIM:133780	C0035344
OMIM:135100	C0016037
OMIM:135150	C0346010
OMIM:135290	C0079218
OMIM:135300	C0399440
OMIM:135500	C0796013
OMIM:135700	C1302995
OMIM:135750	C1851100
OMIM:136120	C0023195
OMIM:136120	C0342895
OMIM:136140	C0729582
OMIM:136520	C2931644
OMIM:136680	C0950122
OMIM:136880	C0311338
OMIM:136880	C1405854
OMIM:136900	C0339515
OMIM:137215	C1708349
OMIM:137245	C0242647
OMIM:137440	C0017495
OMIM:137550	C1318558
OMIM:137800	C0017638
OMIM:137800	C0334590
OMIM:137800	C0028945
OMIM:137800	C0014474
OMIM:137800	C0004114
OMIM:137800	C0017636
OMIM:137920	C2959918
OMIM:138000	C1841984
OMIM:139090	C0272302
OMIM:139210	C0796081
OMIM:139300	C1970109
OMIM:139393	C1963929
OMIM:140000	C1841679
OMIM:140350	C2931042
OMIM:140700	C0700299
OMIM:141749	C0271985
OMIM:142669	C1840572
OMIM:142680	C1275126
OMIM:142900	C0265264
OMIM:143095	C2931649
OMIM:143100	C0020179
OMIM:143100	C0751208
OMIM:143200	C1840452
OMIM:143400	C0266316
OMIM:143470	C0342883
OMIM:143890	C0342881
OMIM:144200	C1721006
OMIM:144650	C0020481
OMIM:144750	C0432273
OMIM:145250	C1840392
OMIM:145600	C0024591
OMIM:145600	C1840365
OMIM:145650	C1840364
OMIM:145900	C0011195
OMIM:145980	C1809471
OMIM:145980	C0342637
OMIM:146000	C0410529
OMIM:146200	C1832648
OMIM:146255	C1840333
OMIM:146300	C1840322
OMIM:146300	C0268413
OMIM:146510	C0265220
OMIM:146550	C2931059
OMIM:146590	C1840296
OMIM:146800	C0432306
OMIM:147060	C2936739
OMIM:147250	C1840235
OMIM:147750	C1327918
OMIM:147891	C1840061
OMIM:147920	C0796004
OMIM:147950	C0162809
OMIM:148050	C0220687
OMIM:148190	C1835698
OMIM:148210	C0265336
OMIM:148350	C1835672
OMIM:148500	C1835664
OMIM:148820	C0599973
OMIM:148820	C0043008
OMIM:149200	C0266004
OMIM:149400	C1835614
OMIM:149730	C0265269
OMIM:150250	C2931648
OMIM:150600	C0023234
OMIM:151050	C0432269
OMIM:151100	C0175704
OMIM:151210	C1835437
OMIM:151600	C0544855
OMIM:151623	C0085390
OMIM:151660	C1720860
OMIM:152950	C1835265
OMIM:153100	C1704423
OMIM:153400	C0265345
OMIM:153480	C0265326
OMIM:153550	C1292779
OMIM:153600	C0024419
OMIM:153640	C0403445
OMIM:153650	C0398641
OMIM:153700	C0339510
OMIM:154020	C1835171
OMIM:154400	C0265245
OMIM:154500	C0242387
OMIM:154780	C0265235
OMIM:154800	C0042111
OMIM:154800	C0024899
OMIM:155240	C1833921
OMIM:155255	C0751291
OMIM:155255	C0025149
OMIM:155600	C2314896
OMIM:155600	C0013403
OMIM:155755	C1835042
OMIM:155950	C0025239
OMIM:156240	C0025500
OMIM:156250	C0410530
OMIM:156400	C0265295
OMIM:156500	C0265289
OMIM:156530	C0265281
OMIM:156550	C0265279
OMIM:156610	C0473586
OMIM:157170	C0751617
OMIM:157170	C0431362
OMIM:157170	C0431363
OMIM:157800	C1834818
OMIM:158000	C0546966
OMIM:158300	C0265226
OMIM:158320	C1321489
OMIM:158330	C2675014
OMIM:158350	C0018553
OMIM:158350	C1866398
OMIM:158350	C0391826
OMIM:158590	C3711384
OMIM:158600	C1834690
OMIM:158810	C1834674
OMIM:158900	C0238288
OMIM:159000	C1834659
OMIM:159001	C1834653
OMIM:159550	C1327919
OMIM:159900	C1834570
OMIM:159950	C1834569
OMIM:160120	C1834559
OMIM:160120	C1719788
OMIM:160150	C1834558
OMIM:160565	C0410207
OMIM:160800	C0027127
OMIM:160900	C2931688
OMIM:160980	C0406810
OMIM:161000	C0343111
OMIM:161200	C0027341
OMIM:161400	C0751362
OMIM:161800	C0546125
OMIM:161800	C3711389
OMIM:162091	C0917817
OMIM:162100	C0221759
OMIM:162200	C0027831
OMIM:162300	C0025268
OMIM:162300	C0025269
OMIM:162400	C0020071
OMIM:162500	C0393814
OMIM:162800	C0221023
OMIM:162830	C0543669
OMIM:162900	C0343114
OMIM:163000	C0235752
OMIM:163200	C3854181
OMIM:163500	C0339535
OMIM:163950	C0028326
OMIM:164200	C0812437
OMIM:164280	C0796068
OMIM:164300	C0270952
OMIM:164400	C0752120
OMIM:164500	C0752125
OMIM:165300	C1833809
OMIM:165550	C0338502
OMIM:165800	C3665488
OMIM:166200	C0029434
OMIM:166210	C0268358
OMIM:166220	C0268363
OMIM:166250	C0432283
OMIM:166300	C2674705
