:START_ID|Source|:END_ID|Status|Phenotype_Mapping_Method|:TYPE
MIM:608837|OMIM|MIM:160741||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:614344p|OMIM|MIM:614344||Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:612335p|OMIM|MIM:612335||Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:300605p|OMIM|MIM:300605||Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:613062p|OMIM|MIM:613062|Mutation contributing to susceptibility to multifactorial disorders or infection.|Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:604114p|OMIM|MIM:604114||Disorder placed by association. Underlying defect unknown.|caused_by_gene
MIM:618961|OMIM|MIM:600230||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:617802|OMIM|MIM:192150||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:300704p|OMIM|MIM:300704|Mutation contributing to susceptibility to multifactorial disorders or infection.|Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:605913p|OMIM|MIM:605913||Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:300918|OMIM|MIM:300294|Unconfirmed or possibly spurrious mapping.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:605751|OMIM|MIM:614386||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:600807|OMIM|MIM:606531|Mutation contributing to susceptibility to multifactorial disorders or infection.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:147630|OMIM|MIM:610303||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:614504|OMIM|MIM:142810||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:619523|OMIM|MIM:608142|Unconfirmed or possibly spurrious mapping.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:602085p|OMIM|MIM:602085||Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:231090|OMIM|MIM:609661||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:607095|OMIM|MIM:157660||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:604379|OMIM|MIM:607365||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:609338|OMIM|MIM:601487||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:158300|OMIM|MIM:160741||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:156610|OMIM|MIM:191130||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:619475|OMIM|MIM:182790||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:617644|OMIM|MIM:602144|Unconfirmed or possibly spurrious mapping.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:616968|OMIM|MIM:116945|Unconfirmed or possibly spurrious mapping.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:602111|OMIM|MIM:600108||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:612232p|OMIM|MIM:612232|Mutation contributing to susceptibility to multifactorial disorders or infection.|Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:618822|OMIM|MIM:600819|Unconfirmed or possibly spurrious mapping.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:617762|OMIM|MIM:617036|Unconfirmed or possibly spurrious mapping.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:300066|OMIM|MIM:300226||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:165800|OMIM|MIM:155760||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:615752|OMIM|MIM:604110||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:112310|OMIM|MIM:603381||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:616366|OMIM|MIM:176262||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:615224|OMIM|MIM:600864||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:619644|OMIM|MIM:618931||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:112240|OMIM|MIM:176790||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:614474|OMIM|MIM:601656||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:273800|OMIM|MIM:607759||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:617718|OMIM|MIM:604223||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:193500|OMIM|MIM:606597||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:612251|OMIM|MIM:607218|Mutation contributing to susceptibility to multifactorial disorders or infection.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:125520p|OMIM|MIM:125520||Disorder placed by linkage. No mutation found.|caused_by_gene
MIM:601868|OMIM|MIM:120290||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:617050|OMIM|MIM:607246|Unconfirmed or possibly spurrious mapping.|Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:616875|OMIM|MIM:616846||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:609528|OMIM|MIM:604202||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:136630|OMIM|MIM:611379||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:614881|OMIM|MIM:604139||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:603813|OMIM|MIM:605747||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:618173|OMIM|MIM:604695||Disorder has known molecular basis. Mutation found.|caused_by_gene
MIM:614498|OMIM|MIM:614506||Disorder has known molecular basis. Mutation found.|caused_by_gene
